last_name,first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Abreu, José,547989,White Sox,,1B,-4,-5,-7,3,-1,-1,-6,1,73%,74%,-1%
Acuña Jr., Ronald,660670,Braves,,RF,-3,-4,1,-3,-2,0,-6,3,88%,89%,-1%
Adames, Willy,642715,---,,SS,3,3,11,9,-19,2,7,-3,75%,75%,0%
Adrianza, Ehire,501303,---,,SS,5,7,9,-2,-2,1,3,4,73%,72%,1%
Aguilar, Jesús,542583,---,,1B,-2,-3,6,-6,-1,-2,1,-4,70%,70%,0%
Ahmed, Nick,605113,D-backs,,SS,61,81,36,22,19,4,60,21,78%,73%,5%
Alberto, Hanser,593643,---,,2B,-3,-4,2,-9,5,-2,-6,2,76%,76%,0%
Albies, Ozzie,645277,Braves,,2B,14,19,10,-8,19,-2,8,11,76%,75%,1%
Almora Jr., Albert,546991,---,,CF,18,20,5,11,6,-3,15,5,90%,87%,3%
Alonso, Pete,624413,Mets,,1B,-13,-18,3,-18,-2,-1,-4,-13,70%,72%,-2%
Altuve, Jose,514888,Astros,,2B,7,10,15,3,-7,-1,8,2,75%,74%,1%
Anderson, Brian,605119,Marlins,,3B,-4,-4,-1,4,-4,-2,2,-6,74%,74%,0%
Anderson, Tim,641313,White Sox,,SS,10,13,-1,19,-10,4,4,9,73%,73%,0%
Andrus, Elvis,462101,---,,SS,16,21,38,7,-20,-4,20,1,73%,72%,1%
Arcia, Orlando,606115,---,,SS,0,0,2,5,-3,-3,-3,4,76%,76%,0%
Arenado, Nolan,571448,---,,3B,48,64,19,16,27,2,60,3,72%,69%,3%
Arraez, Luis,650333,Twins,,2B,-19,-25,-7,-14,-5,1,-9,-16,74%,77%,-3%
Bader, Harrison,664056,---,,CF,51,57,15,25,12,4,28,29,93%,88%,5%
Bell, Josh,605137,---,,1B,-8,-10,4,-13,-3,2,-6,-4,72%,73%,-1%
Bellinger, Cody,641355,Dodgers,,CF,27,30,0,10,17,3,16,14,89%,87%,2%
Belt, Brandon,474832,Giants,,1B,-1,0,3,-11,7,0,-6,5,75%,75%,0%
Benintendi, Andrew,643217,---,,LF,-6,-7,2,0,-10,0,-8,1,85%,86%,-1%
Berti, Jon,542932,---,,3B,0,0,5,-5,0,0,-3,3,76%,76%,0%
Betts, Mookie,605141,---,,RF,24,26,6,3,10,8,21,5,89%,87%,2%
Bichette, Bo,666182,Blue Jays,,SS,-13,-17,-24,-1,2,6,-21,5,74%,76%,-2%
Biggio, Cavan,624415,Blue Jays,,2B,-2,-2,1,0,-3,-1,-8,6,76%,76%,0%
Blackmon, Charlie,453568,Rockies,,CF,-32,-35,-2,-13,-19,-1,-22,-14,83%,87%,-4%
Bogaerts, Xander,593428,Red Sox,,SS,-15,-20,15,-22,-11,-2,-32,12,73%,74%,-1%
Bohm, Alec,664761,Phillies,,3B,-9,-12,0,-6,-5,-1,-12,0,70%,71%,-1%
Bote, David,623520,Cubs,,3B,0,0,2,4,-5,-2,1,-1,72%,72%,0%
Bradley Jr., Jackie,598265,---,,CF,30,34,5,16,12,0,19,14,89%,87%,2%
Brantley, Michael,488726,---,,LF,-12,-13,1,-5,-9,-1,-8,-5,85%,86%,-1%
Bregman, Alex,608324,Astros,,3B,6,8,1,8,-4,3,11,-2,71%,71%,0%
Brinson, Lewis,621446,---,,CF,-1,-2,-2,1,-3,2,-3,2,88%,89%,-1%
Bryant, Kris,592178,---,,3B,-14,-17,-6,0,-9,-2,-13,-5,74%,75%,-1%
Buxton, Byron,621439,Twins,,CF,29,32,4,10,15,3,19,13,94%,90%,4%
Báez, Javier,595879,---,,SS,39,53,20,24,3,5,35,18,77%,74%,3%
Cabrera, Asdrúbal,452678,---,,SS,12,16,6,3,6,1,12,5,70%,69%,1%
Cain, Lorenzo,456715,Brewers,,CF,40,45,2,15,22,6,31,14,91%,87%,4%
Calhoun, Kole,594777,---,,RF,-2,-2,-3,-4,4,0,0,-2,86%,86%,0%
Camargo, Johan,622666,---,,3B,4,6,7,-5,6,-1,0,6,74%,73%,1%
Candelario, Jeimer,600869,Tigers,,3B,1,1,10,2,-8,-3,9,-8,68%,68%,0%
Canha, Mark,592192,---,,LF,-1,-2,-5,1,-2,4,3,-5,87%,87%,0%
Carlson, Dylan,666185,Cardinals,,CF,0,0,-4,0,1,2,4,-4,87%,87%,0%
Carpenter, Matt,572761,---,,3B,-2,-2,3,-9,3,1,2,-4,72%,72%,0%
Castellanos, Nick,592206,---,,RF,-46,-51,-7,-28,-15,-2,-28,-23,83%,87%,-4%
