last_name,first_name,player_id,year,player_age,b_total_pa,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Pujols, Albert,405395,2022,42,351,.262,.499,.380,.365,.343,.237,.415,.395,91.2,16.4,12,
Cabrera, Miguel,408234,2022,39,433,.234,.331,.275,.275,.290,.096,.329,.329,89.9,5,4.7,
Molina, Yadier,425877,2022,39,270,.230,.328,.235,.254,.251,.098,.262,.286,84.7,16.9,3.1,
Cano, Robinson,429664,2022,39,104,.209,.299,.169,.237,.239,.090,.198,.293,88.2,5.8,4,
Suzuki, Kurt,435559,2022,38,159,.191,.281,.254,.255,.276,.090,.253,.255,85.2,24.1,3.5,
Cruz Jr., Nelson,443558,2022,41,507,.241,.399,.292,.320,.323,.157,.334,.377,90.9,7.2,9.3,
Peralta, David,444482,2022,34,490,.249,.399,.315,.313,.318,.150,.378,.375,90.3,15.1,8.5,
Pina, Manny,444489,2022,35,17,.192,.405,.187,.298,.288,.213,.126,.258,81.9,9,7.1,
Escobar, Alcides,444876,2022,35,131,.210,.264,.242,.233,.252,.054,.291,.278,81.8,15.7,1.1,
Longoria, Evan,446334,2022,36,298,.233,.437,.330,.324,.309,.204,.425,.416,91.1,18.2,12.4,
Blackmon, Charlie,453568,2022,35,577,.256,.376,.317,.301,.308,.120,.366,.345,86.2,12.4,4.4,
Maldonado, Martin,455117,2022,35,379,.181,.325,.264,.253,.245,.144,.343,.326,88.4,14.7,8.1,
Chirinos, Robinson,455139,2022,38,220,.168,.281,.251,.245,.255,.113,.303,.293,84.8,17.6,6.9,
Cain, Lorenzo,456715,2022,36,156,.200,.253,.212,.230,.250,.053,.237,.263,87.9,3.8,0,
Solano, Donovan,456781,2022,34,304,.268,.393,.319,.315,.325,.125,.368,.364,88.3,10.7,5.9,
McCutchen, Andrew,457705,2022,35,580,.252,.406,.309,.325,.329,.155,.348,.371,89.1,13.2,8.6,
Upton, Justin,457708,2022,34,57,.157,.218,.231,.249,.293,.061,.275,.318,88.5,26.5,4,
Turner, Justin,457759,2022,37,532,.267,.427,.343,.339,.343,.160,.372,.367,89.5,18.4,8,
Votto, Joey,458015,2022,38,376,.218,.390,.310,.322,.331,.172,.351,.372,89.7,14.2,11.1,
