last_name,first_name,player_id,year,player_age,p_formatted_ip,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Perez, Oliver,424144,2022,40,4.0,.339,.583,.376,.358,.244,88.8,16,10,
Wainwright, Adam,425794,2022,40,191.2,.270,.419,.328,.326,.148,87.8,11,6.5,
Greinke, Zack,425844,2022,38,137.0,.284,.441,.336,.322,.157,88.9,12.6,6.8,
Molina, Yadier,425877,2022,39,2.0,.411,.624,.444,.411,.213,95.1,19.1,9.1,
Verlander, Justin,434378,2022,39,175.0,.207,.331,.255,.248,.124,87.8,16.9,6.3,
Sanchez, Anibal,434671,2022,38,69.1,.250,.411,.332,.344,.162,88.5,18.8,7.7,
Escobar, Alcides,444876,2022,35,1.2,.292,.434,.391,.434,.141,91.4,10.2,0,
Jansen, Kenley,445276,2022,34,64.0,.169,.292,.239,.247,.124,87.1,21.9,7.3,
Chavez, Jesse,445926,2022,38,69.1,.263,.415,.321,.317,.152,90.1,13.4,8.1,
Detwiler, Ross,446321,2022,36,26.1,.280,.451,.355,.361,.171,89.9,13.4,8.6,
Kluber, Corey,446372,2022,36,164.0,.261,.416,.310,.294,.155,87.1,18.5,6.9,
Hill, Rich,448179,2022,42,124.1,.240,.411,.313,.300,.171,88.2,14.9,8.2,
Doolittle, Sean,448281,2022,35,5.1,.126,.245,.157,.126,.119,95.6,24.7,9.1,
Morton, Charlie,450203,2022,38,172.0,.228,.389,.314,.315,.161,89.3,13.6,9.5,
Kennedy, Ian,453178,2022,37,50.1,.288,.514,.374,.360,.226,92.2,21.5,12.2,
Bard, Daniel,453268,2022,37,60.1,.178,.264,.247,.272,.087,87.7,7,4.7,
Scherzer, Max,453286,2022,37,145.1,.202,.339,.265,.253,.137,87.8,21.3,8.4,
Melancon, Mark,453343,2022,37,56.0,.282,.424,.336,.347,.142,89.7,10.9,6.8,
Martin, Chris,455119,2022,36,56.0,.212,.347,.250,.232,.135,88.2,12.5,8.3,
Price, David,456034,2022,36,40.1,.251,.414,.304,.292,.163,89.5,6.9,7.4,
Cueto, Johnny,456501,2022,36,158.1,.263,.408,.311,.305,.145,87.7,13.3,7.3,
Bush, Matt,456713,2022,36,59.2,.186,.317,.254,.256,.132,90.3,15.2,5.4,
Wilson, Justin,458677,2022,34,3.2,.165,.279,.187,.165,.114,93.5,7.2,16.7,
Lynn, Lance,458681,2022,35,121.2,.243,.387,.296,.286,.144,88.4,14.2,6.7,
McGee, Jake,459429,2022,35,37.0,.257,.492,.347,.314,.235,90.2,22.6,11.9,
Clippard, Tyler,461325,2022,37,5.0,.179,.299,.330,.385,.120,82.9,17.2,5.9,
Chacin, Jhoulys,468504,2022,34,47.1,.255,.431,.335,.333,.176,89.7,12,8.2,
Carrasco, Carlos,471911,2022,35,152.0,.253,.405,.313,.310,.152,88.4,9.7,7,
Garcia, Luis,472610,2022,35,61.0,.218,.298,.263,.282,.080,89,6.6,4.1,
Phelps, David,475479,2022,35,63.2,.231,.346,.307,.331,.115,88.4,16.1,5.2,
Luetge, Lucas,476595,2022,35,57.1,.245,.349,.294,.309,.104,85.2,17.6,5.3,
Kershaw, Clayton,477132,2022,34,126.1,.212,.307,.248,.251,.095,87.1,11.6,4.2,
Hunter, Tommy,488984,2022,35,22.1,.245,.466,.328,.293,.221,90.6,14,13.6,
Miley, Wade,489119,2022,35,37.0,.240,.366,.305,.315,.127,86.7,10.3,5.2,
Romo, Sergio,489265,2022,39,18.0,.262,.509,.352,.317,.247,85.6,23.4,12.1,
Stammen, Craig,489334,2022,38,40.2,.258,.412,.313,.305,.154,88.7,6.9,7,
Yates, Kirby,489446,2022,35,7.0,.200,.473,.336,.317,.273,90.1,22.9,18.2,
Ottavino, Adam,493603,2022,36,65.2,.190,.279,.240,.257,.088,84.8,7.7,3.2,
Quintana, Jose,500779,2022,33,165.2,.257,.377,.305,.312,.120,86.5,9.9,5.5,
Pineda, Michael,501381,2022,33,46.2,.299,.538,.368,.325,.240,91.8,16,10.2,
Alvarez, Jose,501625,2022,33,15.1,.294,.536,.400,.399,.242,86.9,6.9,12.2,
Smith, Joe,501925,2022,38,27.1,.273,.486,.351,.331,.212,89.3,4,10.5,
Minor, Mike,501985,2022,34,98.0,.256,.426,.330,.331,.170,88.2,19.1,8.4,
Archer, Chris,502042,2022,33,102.2,.260,.410,.337,.347,.150,89.5,11,8.6,
Gibson, Kyle,502043,2022,34,167.2,.262,.420,.326,.320,.158,88.5,10.6,7.5,
Robertson, David,502085,2022,37,63.2,.176,.302,.273,.295,.126,88.6,12.8,7.6,
Cobb, Alex,502171,2022,34,149.2,.235,.329,.277,.291,.094,89.2,1.8,3.7,
Espino, Paolo,502179,2022,35,113.1,.271,.469,.336,.309,.198,89.3,14.4,7.9,
