SSBB,MLBAM,NL,pos,h,age,team,firstName,lastName,1B,2B,3B,SS,OF,osbAL,ocsAL,osbNL,ocsNL,BAvR,OBvR,SLvR,BAvL,OBvL,SLvL
1,664285,1001,P,L,29,Hou,Framber,Valdez,,,,,,,,,,,,,,,
2,543037,1002,P,R,32,NYA,Gerrit,Cole,,,,,,,,,,,,,,,
3,669456,1003,P,R,27,Cle,Shane,Bieber,,,,,,,,,,,,,,,
4,666201,1004,P,R,25,Tor,Alek,Manoah,,,,,,,,,,,,,,,
5,527048,1005,P,L,32,Tex,Martin,Perez,,,,,,,,,,,,,,,
6,663474,1006,P,R,25,Cle,Triston,McKenzie,,,,,,,,,,,,,,,
7,592662,1007,P,L,31,Sea,Robbie,Ray,,,,,,,,,,,,,,,
8,615698,1008,P,R,28,Cle,Cal,Quantrill,,,,,,,,,,,,,,,
9,669302,1009,P,R,25,Sea,Logan,Gilbert,,,,,,,,,,,,,,,
10,656302,1010,P,R,27,ChA,Dylan,Cease,,,,,,,,,,,,,,,
11,594835,1011,P,L,31,Sea,Marco,Gonzales,,,,,,,,,,,,,,,
12,605135,1012,P,R,34,Tor,Chris,Bassitt,,,,,,,,,,,,,,,
13,608344,1013,P,L,29,Bal,Cole,Irvin,,,,,,,,,,,,,,,
14,641154,1014,P,R,27,Min,Pablo,Lopez,,,,,,,,,,,,,,,
15,601713,1015,P,R,30,Bos,Nick,Pivetta,,,,,,,,,,,,,,,
16,543475,1016,P,R,32,KC,Jordan,Lyles,,,,,,,,,,,,,,,
17,542881,1017,P,L,33,LAA,Tyler,Anderson,,,,,,,,,,,,,,,
18,607074,1018,P,L,30,NYA,Carlos,Rodon,,,,,,,,,,,,,,,
19,592332,1019,P,R,32,Tor,Kevin,Gausman,,,,,,,,,,,,,,,
20,621244,1020,P,R,28,Tor,Jose,Berrios,,,,,,,,,,,,,,,
21,502043,1021,P,R,35,Bal,Kyle,Gibson,,,,,,,,,,,,,,,
22,663556,1022,P,L,26,TB,Shane,McClanahan,,,,,,,,,,,,,,,
23,660271,1023,P,R,28,LAA,Shohei,Ohtani-P,,,,,,,,,,,,,,,
24,664353,1024,P,R,27,Hou,Jose,Urquidy,,,,,,,,,,,,,,,
25,446372,1025,P,R,37,Bos,Corey,Kluber,,,,,,,,,,,,,,,
26,608337,1026,P,R,28,ChA,Lucas,Giolito,,,,,,,,,,,,,,,
27,641482,1027,P,L,28,NYA,Nestor,Cortes,,,,,,,,,,,,,,,
28,677651,1028,P,R,26,Hou,Luis,Garcia(Hou),,,,,,,,,,,,,,,
29,663903,1029,P,R,26,KC,Brady,Singer,,,,,,,,,,,,,,,
30,641540,1030,P,R,28,Tex,Dane,Dunning,,,,,,,,,,,,,,,
31,622491,1031,P,R,30,Sea,Luis,Castillo(Sea),,,,,,,,,,,,,,,
32,663776,1032,P,L,26,LAA,Patrick,Sandoval,,,,,,,,,,,,,,,
33,664299,1033,P,R,26,Hou,Cristian,Javier,,,,,,,,,,,,,,,
34,657746,1034,P,R,27,Min,Joe,Ryan,,,,,,,,,,,,,,,
35,656876,1035,P,R,27,TB,Drew,Rasmussen,,,,,,,,,,,,,,,
36,593423,1036,P,R,30,NYA,Frankie(hurt),Montas,,,,,,,,,,,,,,,
37,641745,1037,P,R,27,KC,Brad,Keller,,,,,,,,,,,,,,,
38,623167,1038,P,R,28,Sea,Chris,Flexen,,,,,,,,,,,,,,,
39,657248,1039,P,R,27,Tex,Glenn,Otto,,,,,,,,,,,,,,,
40,605488,1040,P,L,30,TB,Jeffrey,Springs,,,,,,,,,,,,,,,
41,621076,1041,P,R,29,Oak,James,Kaprielian,,,,,,,,,,,,,,,
42,668676,1042,P,R,28,Cle,Zach,Plesac,,,,,,,,,,,,,,,
43,663738,1043,P,L,26,KC,Daniel,Lynch,,,,,,,,,,,,,,,
44,669923,1044,P,R,25,Sea,George,Kirby,,,,,,,,,,,,,,,
45,663460,1045,P,L,25,KC,Kris,Bubic,,,,,,,,,,,,,,,
46,672282,1046,P,L,23,LAA,Reid,Detmers,,,,,,,,,,,,,,,
47,592351,1047,P,R,31,Tex,Jon,Gray(Tex),,,,,,,,,,,,,,,
48,665152,1048,P,R,27,Bal,Dean,Kremer,,,,,,,,,,,,,,,
49,458681,1049,P,R,35,ChA,Lance,Lynn,,,,,,,,,,,,,,,
50,605507,1050,P,R,29,Tor,Zach,Thompson,,,,,,,,,,,,,,,
51,641816,1051,P,R,28,Min,Tyler,Mahle,,,,,,,,,,,,,,,
52,543243,1052,P,R,33,Min,Sonny,Gray,,,,,,,,,,,,,,,
53,656629,1053,P,R,27,ChA,Michael,Kopech,,,,,,,,,,,,,,,
54,680694,1054,P,R,26,Bal,Kyle,Bradish,,,,,,,,,,,,,,,
55,605182,1055,P,R,32,ChA,Mike,Clevinger,,,,,,,,,,,,,,,
56,621112,1056,P,R,29,Oak,Paul,Blackburn,,,,,,,,,,,,,,,
57,543135,1057,P,R,33,Tex,Nathan,Eovaldi,,,,,,,,,,,,,,,
58,660761,1058,P,L,25,LAA,Jose,Suarez,,,,,,,,,,,,,,,
59,543606,1059,P,R,33,Tex,Jake,Odorizzi,,,,,,,,,,,,,,,
60,657093,1060,P,R,30,Bal,Spenser,Watkins,,,,,,,,,,,,,,,
61,669169,1061,P,R,26,KC,Jonathan,Heasley,,,,,,,,,,,,,,,
62,669330,1062,P,R,28,Bal,Tyler,Wells,,,,,,,,,,,,,,,
63,622663,1063,P,R,29,NYA,Luis,Severino,,,,,,,,,,,,,,,
64,608723,1064,P,R,30,Bal,Austin,Voth,,,,,,,,,,,,,,,
65,641302,1065,P,L,28,Det,Tyler,Alexander,,,,,,,,,,,,,,,
66,579328,1066,P,L,31,Tor,Yusei,Kikuchi,,,,,,,,,,,,,,,
67,621368,1067,P,L,28,Tex,Taylor,Hearn,,,,,,,,,,,,,,,
68,669952,1068,P,R,28,Tor,Mitch,White,,,,,,,,,,,,,,,
69,547179,1069,P,R,31,Det,Michael,Lorenzen,,,,,,,,,,,,,,,
70,650644,1070,P,R,27,Cle,Aaron,Civale,,,,,,,,,,,,,,,
71,593958,1071,P,L,30,Det,Eduardo,Rodriguez,,,,,,,,,,,,,,,
72,669211,1072,P,L,28,Bal,Keegan,Akin,,,,,,,,,,,,,,,
73,689225,1073,P,R,25,Det,Beau,Brieske,,,,,,,,,,,,,,,
74,642232,1074,P,L,31,KC,Ryan,Yarbrough,,,,,,,,,,,,,,,
75,642545,1075,P,R,26,LAA,Jaime,Barria,,,,,,,,,,,,,,,
76,676477,1076,P,R,26,Bos,Garrett,Whitlock,,,,,,,,,,,,,,,
77,676710,1077,P,R,26,Bos,Kutter,Crawford,,,,,,,,,,,,,,,
78,621107,1078,P,R,29,TB,Zach,Eflin,,,,,,,,,,,,,,,
79,670124,1079,P,R,28,Oak,Adam,Oller,,,,,,,,,,,,,,,
80,669145,1080,P,L,28,Bal,Bruce,Zimmermann,,,,,,,,,,,,,,,
81,571760,1081,P,L,31,Tex,Andrew,Heaney,,,,,,,,,,,,,,,
82,593334,1082,P,R,30,NYA,Domingo,German,,,,,,,,,,,,,,,
83,670174,1083,P,R,24,Bos,Josh,Winckowski,,,,,,,,,,,,,,,
84,676664,1084,P,L,27,Oak,JP,Sears,,,,,,,,,,,,,,,
85,641329,1085,P,R,28,Bal,Bryan,Baker,,,,,,,,,,,,,,,
86,682171,1086,P,R,28,Sea,Penn,Murfee,,,,,,,,,,,,,,,
87,680739,1087,P,R,26,Min,Josh,Winder,,,,,,,,,,,,,,,
88,625643,1088,P,R,29,ChA,Reynaldo,Lopez,,,,,,,,,,,,,,,
89,594798,1089,P,R,34,Tex,Jacob,deGrom,,,,,,,,,,,,,,,
90,663436,1090,P,R,26,ChA,Davis,Martin,,,,,,,,,,,,,,,
91,666159,1091,P,R,25,Det,Matt,Manning,,,,,,,,,,,,,,,
92,676684,1092,P,R,27,Det,Will,Vest,,,,,,,,,,,,,,,
93,542888,1093,P,R,32,TB,Shawn,Armstrong,,,,,,,,,,,,,,,
94,656222,1094,P,L,29,TB,Jalen,Beeks,,,,,,,,,,,,,,,
95,682051,1095,P,R,27,Det,Garrett,Hill,,,,,,,,,,,,,,,
96,656557,1096,P,R,26,Bos,Tanner,Houck,,,,,,,,,,,,,,,
97,663455,1097,P,L,25,Cle,Konnor,Pilkington,,,,,,,,,,,,,,,
98,657376,1098,P,R,27,NYA,Clarke,Schmidt,,,,,,,,,,,,,,,
99,661309,1099,P,R,26,Oak,Adrian,Martinez,,,,,,,,,,,,,,,
100,678394,1100,P,R,23,Bos,Brayan,Bello,,,,,,,,,,,,,,,
101,672578,1101,P,R,26,KC,CarlosE.,Hernandez,,,,,,,,,,,,,,,
102,641927,1102,P,R,27,Min,Bailey,Ober,,,,,,,,,,,,,,,
103,656412,1103,P,R,27,Det,Alex,Faedo,,,,,,,,,,,,,,,
104,656353,1104,P,L,27,LAA,Tucker,Davidson,,,,,,,,,,,,,,,
105,650633,1105,P,R,27,NYA,Michael,King,,,,,,,,,,,,,,,
106,665621,1106,P,R,25,Det,Rony,Garcia,,,,,,,,,,,,,,,
107,666374,1107,P,R,24,Sea,Matt,Brash,,,,,,,,,,,,,,,
108,681806,1108,P,R,27,LAA,Andrew,Wantz,,,,,,,,,,,,,,,
109,621121,1109,P,R,29,Hou,Lance,McCullers,,,,,,,,,,,,,,,
110,669424,1110,P,R,28,ChA,Jimmy,Lambert,,,,,,,,,,,,,,,
111,663423,1111,P,R,29,Tor,Trent,Thornton,,,,,,,,,,,,,,,
112,666142,1112,P,L,25,Tex,Cole,Ragans,,,,,,,,,,,,,,,
113,666721,1113,P,R,23,KC,Max,Castillo,,,,,,,,,,,,,,,
114,675921,1114,P,R,26,Tex,Spencer,Howard,,,,,,,,,,,,,,,
115,676596,1115,P,L,26,TB,Josh,Fleming,,,,,,,,,,,,,,,
116,686610,1116,P,L,25,Oak,Ken,Waldichuk,,,,,,,,,,,,,,,
117,657508,1117,P,R,27,Bal,Mike,Baumann,,,,,,,,,,,,,,,
118,666214,1118,P,L,25,Det,Joey,Wentz,,,,,,,,,,,,,,,
119,663485,1119,P,R,25,Min,Cole,Sands,,,,,,,,,,,,,,,
120,681217,1120,P,R,22,LAA,Chase,Silseth,,,,,,,,,,,,,,,
121,686973,1121,P,R,25,Min,Louie,Varland,,,,,,,,,,,,,,,
