Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Judge","NYY",152,658,556,156,84,25,0,47,108,123,93,10,172,5,4,0,,9,2,0.279926,0.141524,0.261275,0.541667,0.385692,0.578269,0.406718,0.963961,0.298343,3.48017,0.318318,0,0.317513,125.931,50.6912,170.864,0.317513,10.5957,52.78880763053894,4.045675754547119,8.16786,3.119999885559082,,,,"15640"
"Mike Trout","LAA",152,658,552,150,71,31,3,45,109,98,91,13,174,11,4,0,,4,0,0.272494,0.137931,0.265086,0.520325,0.383621,0.586118,0.406801,0.969739,0.313625,4.40405,0.312236,0,0.187592,125.974,50.7344,168.304,0.187592,-1.911,50.76331026852131,-0.16099989414215088,7.51351,19.40999984741211,,,,"10155"
"Trea Turner","PHI",156,672,616,186,121,36,4,25,104,89,47,1,121,4,4,0,,27,4,0.301003,0.0705521,0.179448,0.393162,0.352761,0.493311,0.364931,0.846072,0.192308,6.42987,0.338395,0,3.01389,106.302,29.4611,135.396,3.01389,4.32185,30.64973211288452,11.271849155426025,6.77554,2.5,,,,"16252"
"Juan Soto","SDP",149,644,502,137,83,23,2,28,104,81,136,12,99,3,3,0,,9,3,0.272374,0.210926,0.153263,1.37624,0.427921,0.496109,0.399265,0.92403,0.223735,3.99903,0.286822,0,-0.275035,119.439,45.7996,164.075,-0.275035,-1.64025,47.66756871342659,-9.640249967575073,6.26774,10.699999809265137,,,,"20123"
"Alex Bregman","HOU",154,665,556,152,89,37,1,25,96,102,92,2,80,10,8,0,,2,1,0.272904,0.138436,0.120521,1.14865,0.381107,0.477583,0.372992,0.85869,0.204678,2.89002,0.276596,0,-0.776967,109.453,33.4129,146.851,-0.776967,2.22807,34.28288984298706,4.203070282936096,6.26475,79.87999725341797,,,,"17678"
"Yordan Alvarez","HOU",136,588,506,150,76,34,2,38,97,115,73,8,123,6,4,0,,1,1,0.296015,0.12398,0.208809,0.59375,0.388254,0.597723,0.415231,0.985977,0.301708,2.73727,0.319559,0,-0.79659,116.511,49.275,176.671,-0.79659,0,49.93463748693466,-9.399999618530273,6.22235,14.65999984741211,,,,"19556"
"Nolan Arenado","STL",156,672,605,165,97,39,1,28,75,103,56,4,82,7,4,0,,4,2,0.273234,0.083612,0.122074,0.684932,0.339465,0.481413,0.352808,0.820878,0.208178,2.59461,0.274775,0,-0.635537,99.8298,22.989,132.007,-0.635537,9.86717,24.35403710603714,11.667169451713562,6.15602,34.58000183105469,,,,"9777"
"Francisco Lindor","NYM",156,672,597,152,96,27,3,26,93,92,60,4,118,7,5,2,,13,5,0.254766,0.0893683,0.175655,0.508772,0.327666,0.440208,0.332557,0.767874,0.185442,5.04139,0.275395,0,-0.0241434,89.0189,12.1781,120.62,-0.0241434,11.8742,16.07525809854269,19.074162483215332,6.06448,34.13999938964844,,,,"12916"
"José Ramírez","CLE",151,651,570,155,82,39,4,31,95,110,68,13,84,6,6,0,,20,5,0.272401,0.105181,0.128728,0.817073,0.353218,0.516129,0.366543,0.869347,0.243728,5.7556,0.269911,0,1.46616,103.814,29.3744,141.559,1.46616,3.60423,31.910778641700745,4.3292282819747925,5.98211,3.7300000190734863,,,,"13510"
"Julio Rodríguez","SEA",149,644,584,158,97,26,3,31,97,99,50,4,160,9,1,0,,30,8,0.270169,0.0782313,0.248299,0.315069,0.336735,0.484053,0.353505,0.820787,0.213884,6.43444,0.322222,0,2.23912,96.0273,22.3882,137.312,2.23912,4.1817,29.27906107902527,6.4816977977752686,5.90838,4.179999828338623,,,,"23697"
