year,name,spotrac_url,spotrac_id,team,bonus,position,country,mlb_id,birthdate
2024,Jose Perdomo,https://www.spotrac.com/redirect/player/87191/,87191,ATL,5000000,SS,Venezuela,,
2024,Leodalis De Vries,https://www.spotrac.com/redirect/player/87192/,87192,SD,4200000,SS,Dominican Republic,815888,2006-10-11
2024,Fernando Cruz,https://www.spotrac.com/redirect/player/87291/,87291,CHC,4000000,SS,Dominican Republic,,
2024,Dawel Joseph,https://www.spotrac.com/redirect/player/87623/,87623,SEA,3000000,SS,Dominican Republic,,
2024,Yovanny Rodriguez,https://www.spotrac.com/redirect/player/87500/,87500,NYM,2850000,C,Venezuela,,
2024,Adolfo Sanchez,https://www.spotrac.com/redirect/player/87309/,87309,CIN,2700000,OF,Dominican Republic,807645,2006-09-19
2024,Victor Hurtado,https://www.spotrac.com/redirect/player/87696/,87696,WSH,2700000,OF,Dominican Republic,,
2024,Yandel Ricardo,https://www.spotrac.com/redirect/player/87390/,87390,KC,2400000,SS,Cuba,,
2024,Joswa Lugo,https://www.spotrac.com/redirect/player/87398/,87398,LAA,2300000,SS,Dominican Republic,,
2024,Brailyn Brazoban,https://www.spotrac.com/redirect/player/87561/,87561,PIT,2000000,OF,Dominican Republic,,
2024,Robert Arias,https://www.spotrac.com/redirect/player/87325/,87325,CLE,1900000,OF,Dominican Republic,,
2024,Emil Morales,https://www.spotrac.com/redirect/player/87413/,87413,LAD,1900000,SS,Dominican Republic,,
2024,Daiber De Los Santos,https://www.spotrac.com/redirect/player/87491/,87491,MIN,1900000,SS,Dominican Republic,,
2024,Adriel Radney,https://www.spotrac.com/redirect/player/87204/,87204,ARI,1850000,OF,Dominican Republic,,
2024,Belfi Rivera,https://www.spotrac.com/redirect/player/87205/,87205,ARI,1850000,OF,Dominican Republic,,
2024,Eduardo Herrera,https://www.spotrac.com/redirect/player/87301/,87301,CHW,1800000,3B,Venezuela,672620,2000-01-05
2024,Angel Feliz,https://www.spotrac.com/redirect/player/87697/,87697,WSH,1800000,SS,Dominican Republic,805467,2004-03-02
2024,Leonardo Pineda,https://www.spotrac.com/redirect/player/87633/,87633,TB,1750000,OF,Dominican Republic,,
2024,Ashly Andujar,https://www.spotrac.com/redirect/player/87352/,87352,COL,1700000,SS,Dominican Republic,,
2024,Cesar Hernandez,https://www.spotrac.com/redirect/player/87379/,87379,HOU,1700000,OF,Cuba,514917,1990-05-23
2024,Jorge Quintana,https://www.spotrac.com/redirect/player/87455/,87455,MIL,1700000,SS,Venezuela,,
2024,Francisco Vilorio,https://www.spotrac.com/redirect/player/87521/,87521,NYY,1700000,OF,Dominican Republic,,
2024,Naibel Mariano,https://www.spotrac.com/redirect/player/87310/,87310,CIN,1650000,SS,Dominican Republic,807648,2006-09-06
2024,Nestor Miranda,https://www.spotrac.com/redirect/player/87369/,87369,DET,1500000,3B,Dominican Republic,,
2024,Eduardo Beltre,https://www.spotrac.com/redirect/player/87492/,87492,MIN,1500000,OF,Dominican Republic,,
2024,Luis Cova,https://www.spotrac.com/redirect/player/87433/,87433,MIA,1400000,OF,Venezuela,,
2024,Jalvin Arias,https://www.spotrac.com/redirect/player/87547/,87547,PHI,1400000,OF,Dominican Republic,,
2024,Yohendry Sanchez,https://www.spotrac.com/redirect/player/87602/,87602,SF,1400000,C,Venezuela,,
2024,Emilio Sanchez,https://www.spotrac.com/redirect/player/87231/,87231,BAL,1300000,SS,Dominican Republic,,
2024,Paulino Santana,https://www.spotrac.com/redirect/player/87657/,87657,TEX,1300000,OF,Dominican Republic,,
2024,Edgar Montero,https://www.spotrac.com/redirect/player/87536/,87536,OAK,1200000,SS,Dominican Republic,,
2024,Jose Ramos,https://www.spotrac.com/redirect/player/87537/,87537,OAK,1200000,OF,Venezuela,,
